,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,CONSTRUCTION OUTPUT: ALL WORK SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Chained volume measure, seasonally adjusted, 2012 prices",,,,"Chained volume measure, seasonally adjusted index number, 2012 = 100",,,,"Chained volume measure, non-seasonally adjusted, 2012 prices",,,,"Chained volume measure, non-seasonally adjusted index number, 2012 = 100",,,,"Current prices, non-seasonally adjusted",,,,"Implied deflator (2012=100), non-seasonally adjusted",,,,,,,,,,,,,,,,,,,,,,,,,
,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,£ million,%,%,,%,%,%,,£ million,%,%,,%,%,%,,£ million,%,%,,%,%,%,,,,,,,,,,,,,,,,,,,,,,,
1997,,"108,110",,,,91.3,,,,"108,369",,,,91.5,,,,"60,990",,,,54.8,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,"109,715",1.5,,,92.6,1.5,,,"109,984",1.5,,,92.9,1.5,,,"64,825",6.3,,,57.4,4.7,,,,,,,,,,,,,,,,,,,,,,,,
1999,,"111,095",1.3,,,93.8,1.3,,,"111,400",1.3,,,94.1,1.3,,,"68,581",5.8,,,59.9,4.4,,,,,,,,,,,,,,,,,,,,,,,,
2000,,"112,070",0.9,,,94.6,0.9,,,"112,292",0.8,,,94.8,0.8,,,"72,711",6.0,,,63.1,5.2,,,,,,,,,,,,,,,,,,,,,,,,
2001,,"114,061",1.8,,,96.3,1.8,,,"114,303",1.8,,,96.5,1.8,,,"77,960",7.2,,,66.4,5.3,,,,,,,,,,,,,,,,,,,,,,,,
2002,,"120,602",5.7,,,101.8,5.7,,,"120,836",5.7,,,102.0,5.7,,,"87,220",11.9,,,70.3,5.8,,,,,,,,,,,,,,,,,,,,,,,,
2003,,"126,402",4.8,,,106.7,4.8,,,"126,620",4.8,,,106.9,4.8,,,"97,258",11.5,,,74.8,6.4,,,,,,,,,,,,,,,,,,,,,,,,
2004,,"133,118",5.3,,,112.4,5.3,,,"133,230",5.2,,,112.5,5.2,,,"106,658",9.7,,,78.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,
2005,,"129,877",-2.4,,,109.7,-2.4,,,"129,979",-2.4,,,109.8,-2.4,,,"111,493",4.5,,,83.5,7.2,,,,,,,,,,,,,,,,,,,,,,,,
2006,,"130,882",0.8,,,110.5,0.8,,,"130,907",0.7,,,110.5,0.7,,,"118,321",6.1,,,88.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,
2007,,"133,707",2.2,,,112.9,2.2,,,"133,701",2.1,,,112.9,2.1,,,"127,064",7.4,,,92.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,
2008,,"130,210",-2.6,,,109.9,-2.6,,,"130,258",-2.6,,,110.0,-2.6,,,"128,644",1.2,,,96.2,3.9,,,,,,,,,,,,,,,,,,,,,,,,
2009,,"113,028",-13.2,,,95.4,-13.2,,,"113,113",-13.2,,,95.5,-13.2,,,"111,083",-13.7,,,95.6,-0.6,,,,,,,,,,,,,,,,,,,,,,,,
2010,,"122,666",8.5,,,103.6,8.5,,,"122,666",8.4,,,103.6,8.4,,,"117,385",5.7,,,92.7,-3.1,,,,,,,,,,,,,,,,,,,,,,,,
2011,,"125,365",2.2,,,105.9,2.2,,,"125,365",2.2,,,105.9,2.2,,,"121,737",3.7,,,94.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,
2012,,"116,732",-6.9,,,98.6,-6.9,,,"116,732",-6.9,,,98.6,-6.9,,,"116,014",-4.7,,,96.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,
2013,,"118,429",1.5,,,100.0,1.5,,,"118,429",1.5,,,100.0,1.5,,,"121,706",4.9,,,100.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,
2014,,"128,072",8.1,,,108.1,8.1,,,"127,933",8.0,,,108.0,8.0,,,"136,011",11.8,,,102.9,2.9,,,,,,,,,,,,,,,,,,,,,,,,
2015,,"134,385",4.9,,,113.5,4.9,,,"133,501",4.4,,,112.7,4.4,,,"144,795",6.5,,,105.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2016,,0,0.0,,,0.0,0.0,,,0,0.0,,,0.0,0.0,,,0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Q1 ,"26,695",,,,90.2,,,,"26,387",,,,89.1,,,,"14,585",,,,53.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"27,164",1.8,,,91.7,1.8,,,"26,965",2.2,,,91.1,2.2,,,"15,057",3.2,,,54.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"26,811",-1.3,,,90.6,-1.3,,,"27,232",1.0,,,92.0,1.0,,,"15,439",2.5,,,55.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"27,439",2.3,,,92.7,2.3,,,"27,786",2.0,,,93.8,2.0,,,"15,909",3.0,,,55.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1998,Q1 ,"27,952",1.9,4.7,,94.4,1.9,4.7,,"27,646",-0.5,4.8,,93.4,-0.5,4.8,,"15,899",-0.1,9.0,,56.0,0.4,4.0,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"27,179",-2.8,0.1,,91.8,-2.8,0.1,,"27,017",-2.3,0.2,,91.3,-2.3,0.2,,"15,808",-0.6,5.0,,57.0,1.7,4.8,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"27,147",-0.1,1.3,,91.7,-0.1,1.3,,"27,547",2.0,1.2,,93.0,2.0,1.2,,"16,464",4.1,6.6,,58.2,2.1,5.4,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"27,437",1.1,0.0,,92.7,1.1,0.0,,"27,774",0.8,0.0,,93.8,0.8,0.0,,"16,654",1.2,4.7,,58.4,0.3,4.7,,,,,,,,,,,,,,,,,,,,,,,
1999,Q1 ,"27,538",0.4,-1.5,,93.0,0.4,-1.5,,"27,217",-2.0,-1.5,,91.9,-2.0,-1.5,,"16,370",-1.7,3.0,,58.6,0.3,4.6,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"27,545",0.0,1.3,,93.0,0.0,1.4,,"27,398",0.7,1.4,,92.5,0.7,1.4,,"16,738",2.2,5.9,,59.5,1.6,4.4,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"28,012",1.7,3.2,,94.6,1.7,3.2,,"28,435",3.8,3.2,,96.0,3.8,3.2,,"17,639",5.4,7.1,,60.4,1.5,3.8,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"27,999",0.0,2.0,,94.6,0.0,2.1,,"28,350",-0.3,2.1,,95.8,-0.3,2.1,,"17,834",1.1,7.1,,61.3,1.4,4.9,,,,,,,,,,,,,,,,,,,,,,,
2000,Q1 ,"28,459",1.6,3.3,,96.1,1.6,3.3,,"28,128",-0.8,3.3,,95.0,-0.8,3.3,,"17,880",0.3,9.2,,61.9,1.0,5.7,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"28,123",-1.2,2.1,,95.0,-1.2,2.1,,"27,948",-0.6,2.0,,94.4,-0.6,2.0,,"17,940",0.3,7.2,,62.5,1.0,5.1,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"27,481",-2.3,-1.9,,92.8,-2.3,-1.9,,"27,876",-0.3,-2.0,,94.2,-0.3,-2.0,,"18,194",1.4,3.1,,63.6,1.7,5.2,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"28,008",1.9,0.0,,94.6,1.9,0.0,,"28,340",1.7,0.0,,95.7,1.7,0.0,,"18,697",2.8,4.8,,64.2,1.1,4.9,,,,,,,,,,,,,,,,,,,,,,,
2001,Q1 ,"27,920",-0.3,-1.9,,94.3,-0.3,-1.9,,"27,583",-2.7,-1.9,,93.2,-2.7,-1.9,,"18,392",-1.6,2.9,,64.9,1.1,4.9,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"28,579",2.4,1.6,,96.5,2.4,1.6,,"28,382",2.9,1.6,,95.9,2.9,1.6,,"19,147",4.1,6.7,,65.7,1.2,5.1,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"28,500",-0.3,3.7,,96.3,-0.3,3.7,,"28,942",2.0,3.8,,97.8,2.0,3.8,,"19,906",4.0,9.4,,67.0,2.0,5.4,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"29,062",2.0,3.8,,98.2,2.0,3.8,,"29,397",1.6,3.7,,99.3,1.6,3.7,,"20,515",3.1,9.7,,68.0,1.5,5.8,,,,,,,,,,,,,,,,,,,,,,,
2002,Q1 ,"29,366",1.0,5.2,,99.2,1.0,5.2,,"29,042",-1.2,5.3,,98.1,-1.2,5.3,,"20,486",-0.1,11.4,,68.7,1.1,5.8,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"29,558",0.7,3.4,,99.8,0.7,3.4,,"29,362",1.1,3.5,,99.2,1.1,3.5,,"21,199",3.5,10.7,,70.3,2.4,7.0,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"30,598",3.5,7.4,,103.3,3.5,7.4,,"31,015",5.6,7.2,,104.8,5.6,7.2,,"22,422",5.8,12.6,,70.4,0.1,5.1,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"31,079",1.6,6.9,,105.0,1.6,6.9,,"31,418",1.3,6.9,,106.1,1.3,6.9,,"23,113",3.1,12.7,,71.6,1.8,5.4,,,,,,,,,,,,,,,,,,,,,,,
2003,Q1 ,"30,383",-2.2,3.5,,102.6,-2.2,3.5,,"30,119",-4.1,3.7,,101.7,-4.1,3.7,,"22,636",-2.1,10.5,,73.2,2.2,6.5,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"31,188",2.7,5.5,,105.3,2.7,5.5,,"30,981",2.9,5.5,,104.6,2.9,5.5,,"23,576",4.2,11.2,,74.1,1.3,5.4,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"31,985",2.6,4.5,,108.0,2.6,4.5,,"32,414",4.6,4.5,,109.5,4.6,4.5,,"25,102",6.5,12.0,,75.4,1.8,7.1,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"32,845",2.7,5.7,,110.9,2.7,5.7,,"33,106",2.1,5.4,,111.8,2.1,5.4,,"25,944",3.4,12.2,,76.3,1.2,6.5,,,,,,,,,,,,,,,,,,,,,,,
2004,Q1 ,"33,924",3.3,11.7,,114.6,3.3,11.7,,"33,740",1.9,12.0,,114.0,1.9,12.0,,"26,533",2.3,17.2,,76.6,0.3,4.6,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"33,323",-1.8,6.8,,112.5,-1.8,6.8,,"33,144",-1.8,7.0,,111.9,-1.8,7.0,,"26,270",-1.0,11.4,,77.2,0.8,4.2,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"33,107",-0.6,3.5,,111.8,-0.6,3.5,,"33,431",0.9,3.1,,112.9,0.9,3.1,,"26,925",2.5,7.3,,78.4,1.6,4.0,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"32,764",-1.0,-0.2,,110.7,-1.0,-0.2,,"32,915",-1.5,-0.6,,111.2,-1.5,-0.6,,"26,930",0.0,3.8,,79.7,1.6,4.4,,,,,,,,,,,,,,,,,,,,,,,
2005,Q1 ,"32,991",0.7,-2.8,,111.4,0.7,-2.8,,"32,878",-0.1,-2.6,,111.0,-0.1,-2.6,,"27,381",1.7,3.2,,81.1,1.8,5.9,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"32,752",-0.7,-1.7,,110.6,-0.7,-1.7,,"32,547",-1.0,-1.8,,109.9,-1.0,-1.8,,"27,794",1.5,5.8,,83.2,2.5,7.7,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"32,106",-2.0,-3.0,,108.4,-2.0,-3.0,,"32,437",-0.3,-3.0,,109.6,-0.3,-3.0,,"28,094",1.1,4.3,,84.3,1.4,7.5,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"32,028",-0.2,-2.2,,108.2,-0.2,-2.2,,"32,116",-1.0,-2.4,,108.5,-1.0,-2.4,,"28,224",0.5,4.8,,85.6,1.5,7.4,,,,,,,,,,,,,,,,,,,,,,,
2006,Q1 ,"32,350",1.0,-1.9,,109.3,1.0,-1.9,,"32,246",0.4,-1.9,,108.9,0.4,-1.9,,"28,766",1.9,5.1,,86.9,1.5,7.1,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"32,572",0.7,-0.5,,110.0,0.7,-0.6,,"32,346",0.3,-0.6,,109.3,0.3,-0.6,,"29,135",1.3,4.8,,87.7,1.0,5.5,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"32,679",0.3,1.8,,110.4,0.3,1.8,,"32,993",2.0,1.7,,111.4,2.0,1.7,,"29,949",2.8,6.6,,88.4,0.8,4.8,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"33,280",1.8,3.9,,112.4,1.8,3.9,,"33,323",1.0,3.8,,112.6,1.0,3.8,,"30,471",1.7,8.0,,89.0,0.7,4.1,,,,,,,,,,,,,,,,,,,,,,,
2007,Q1 ,"33,695",1.2,4.2,,113.8,1.3,4.2,,"33,520",0.6,4.0,,113.2,0.6,4.0,,"31,014",1.8,7.8,,90.1,1.2,3.7,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"33,539",-0.5,3.0,,113.3,-0.5,3.0,,"33,337",-0.5,3.1,,112.6,-0.5,3.1,,"31,442",1.4,7.9,,91.8,1.9,4.7,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"33,042",-1.5,1.1,,111.6,-1.5,1.1,,"33,386",0.1,1.2,,112.8,0.1,1.2,,"32,087",2.1,7.1,,93.6,1.9,5.9,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"33,431",1.2,0.5,,112.9,1.2,0.5,,"33,458",0.2,0.4,,113.0,0.2,0.4,,"32,521",1.4,6.7,,94.7,1.1,6.3,,,,,,,,,,,,,,,,,,,,,,,
2008,Q1 ,"33,787",1.1,0.3,,114.1,1.1,0.3,,"33,526",0.2,0.0,,113.2,0.2,0.0,,"32,814",0.9,5.8,,95.3,0.7,5.8,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"33,418",-1.1,-0.4,,112.9,-1.1,-0.4,,"33,202",-1.0,-0.4,,112.1,-1.0,-0.4,,"32,778",-0.1,4.2,,96.1,0.9,4.7,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"32,468",-2.8,-1.7,,109.7,-2.8,-1.7,,"32,921",-0.8,-1.4,,111.2,-0.8,-1.4,,"32,650",-0.4,1.8,,96.6,0.5,3.2,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"30,537",-5.9,-8.7,,103.1,-5.9,-8.7,,"30,609",-7.0,-8.5,,103.4,-7.0,-8.5,,"30,402",-6.9,-6.5,,96.7,0.1,2.2,,,,,,,,,,,,,,,,,,,,,,,
2009,Q1 ,"28,362",-7.1,-16.1,,95.8,-7.1,-16.1,,"28,020",-8.5,-16.4,,94.6,-8.5,-16.4,,"27,847",-8.4,-15.1,,96.8,0.1,1.5,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"28,006",-1.3,-16.2,,94.6,-1.3,-16.2,,"27,888",-0.5,-16.0,,94.2,-0.5,-16.0,,"27,392",-1.6,-16.4,,95.6,-1.2,-0.5,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"28,504",1.8,-12.2,,96.3,1.8,-12.2,,"28,996",4.0,-11.9,,97.9,4.0,-11.9,,"28,455",3.9,-12.8,,95.6,-0.1,-1.1,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"28,156",-1.2,-7.8,,95.1,-1.2,-7.8,,"28,209",-2.7,-7.8,,95.3,-2.7,-7.8,,"27,389",-3.7,-9.9,,94.5,-1.1,-2.2,,,,,,,,,,,,,,,,,,,,,,,
2010,Q1 ,"29,271",4.0,3.2,,98.9,4.0,3.2,,"27,845",-1.3,-0.6,,94.0,-1.3,-0.6,,"26,822",-2.1,-3.7,,93.3,-1.3,-3.6,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"30,954",5.7,10.5,,104.5,5.7,10.5,,"30,803",10.6,10.5,,104.0,10.6,10.5,,"29,439",9.8,7.5,,92.5,-0.8,-3.3,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"31,637",2.2,11.0,,106.9,2.2,11.0,,"32,728",6.2,12.9,,110.5,6.2,12.9,,"31,216",6.0,9.7,,92.3,-0.2,-3.4,,,,,,,,,,,,,,,,,,,,,,,
,Q4,"30,804",-2.6,9.4,,104.0,-2.6,9.4,,"31,290",-4.4,10.9,,105.7,-4.4,10.9,,"29,908",-4.2,9.2,,92.5,0.2,-2.1,,,,,,,,,,,,,,,,,,,,,,,
2011,Q1,"31,242",1.4,6.7,,105.5,1.4,6.7,,"29,788",-4.8,7.0,,100.6,-4.8,7.0,,"28,636",-4.3,6.8,,93.0,0.6,-0.2,,,,,,,,,,,,,,,,,,,,,,,
,Q2,"31,530",0.9,1.9,,106.5,0.9,1.9,,"31,498",5.7,2.3,,106.4,5.7,2.3,,"30,455",6.4,3.5,,93.6,0.6,1.2,,,,,,,,,,,,,,,,,,,,,,,
,Q3,"31,292",-0.8,-1.1,,105.7,-0.8,-1.1,,"32,455",3.0,-0.8,,109.6,3.0,-0.8,,"31,603",3.8,1.2,,94.3,0.7,2.1,,,,,,,,,,,,,,,,,,,,,,,
,Q4,"31,301",0.0,1.6,,105.7,0.0,1.6,,"31,623",-2.6,1.1,,106.8,-2.6,1.1,,"31,042",-1.8,3.8,,95.0,0.8,2.7,,,,,,,,,,,,,,,,,,,,,,,
2012,Q1 ,"30,213",-3.5,-3.3,,102.0,-3.5,-3.3,,"28,946",-8.5,-2.8,,97.8,-8.5,-2.8,,"28,208",-9.1,-1.5,,96.2,1.2,3.4,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"29,071",-3.8,-7.8,,98.2,-3.8,-7.8,,"28,989",0.1,-8.0,,97.9,0.1,-8.0,,"28,702",1.8,-5.8,,96.7,0.4,3.3,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"28,606",-1.6,-8.6,,96.6,-1.6,-8.6,,"29,469",1.7,-9.2,,99.5,1.7,-9.2,,"29,541",2.9,-6.5,,97.1,0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,
,Q4 ,"28,841",0.8,-7.9,,97.4,0.8,-7.9,,"29,328",-0.5,-7.3,,99.1,-0.5,-7.3,,"29,564",0.1,-4.8,,97.6,0.5,2.6,,,,,,,,,,,,,,,,,,,,,,,
2013,Q1,"28,722",-0.4,-4.9,,97.0,-0.4,-4.9,,"27,271",-7.0,-5.8,,92.1,-7.0,-5.8,,"27,386",-7.4,-2.9,,98.4,0.9,2.3,,,,,,,,,,,,,,,,,,,,,,,
,Q2,"29,224",1.7,0.5,,98.7,1.7,0.5,,"29,181",7.0,0.7,,98.6,7.0,0.7,,"29,808",8.8,3.9,,99.6,1.2,3.1,,,,,,,,,,,,,,,,,,,,,,,
