,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q3,"30,042",2.8,5.0,,101.5,2.8,5.0,,"31,056",6.4,5.4,,104.9,6.4,5.4,,"32,151",7.9,8.8,,100.4,0.8,3.4,,,,,,,,,,,,,,,,,,,,,,,
,Q4,"30,441",1.3,5.5,,102.8,1.3,5.5,,"30,921",-0.4,5.4,,104.4,-0.4,5.4,,"32,362",0.7,9.5,,101.6,1.1,4.1,,,,,,,,,,,,,,,,,,,,,,,
2014,Q1 ,"31,179",2.4,8.6,,105.3,2.4,8.6,,"29,610",-4.2,8.6,,100.0,-4.2,8.6,,"31,429",-2.9,14.8,,102.8,1.2,4.4,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"31,721",1.7,8.5,,107.1,1.7,8.5,,"31,645",6.9,8.4,,106.9,6.9,8.4,,"33,515",6.6,12.4,,102.5,-0.2,2.9,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"32,540",2.6,8.3,,109.9,2.6,8.3,,"33,601",6.2,8.2,,113.5,6.2,8.2,,"35,774",6.7,11.3,,103.1,0.5,2.6,,,,,,,,,,,,,,,,,,,,,,,
,Q4,"32,632",0.3,7.2,,110.2,0.3,7.2,,"33,078",-1.6,7.0,,111.7,-1.6,7.0,,"35,292",-1.3,9.1,,103.3,0.2,1.7,,,,,,,,,,,,,,,,,,,,,,,
2015,Q1 ,"33,512",2.7,7.5,,113.2,2.7,7.5,,"31,653",-4.3,,,106.9,-4.3,6.9,,"34,053",-3.5,8.3,,104.1,0.8,1.3,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"33,723",0.6,6.3,,113.9,0.6,6.3,,"33,546",6.0,,,113.3,6.0,6.0,,"36,189",6.3,8.0,,104.4,0.3,1.9,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"33,415",-0.9,2.7,,112.9,-0.9,2.7,,"34,256",2.1,,,115.7,2.1,1.9,,"37,362",3.2,4.4,,105.6,1.1,2.4,,,,,,,,,,,,,,,,,,,,,,,
,Q4,"33,736",1.0,3.4,,113.9,1.0,3.4,,"34,046",-0.6,,,115.0,-0.6,2.9,,"37,192",-0.5,5.4,,105.7,0.2,2.4,,,,,,,,,,,,,,,,,,,,,,,
2016,Q1 ,"34,104",1.1,1.8,,115.2,1.1,1.8,,"32,254",-5.3,,,108.9,-5.3,1.9,,"35,468",-4.6,4.2,,106.4,0.7,2.2,,,,,,,,,,,,,,,,,,,,,,,
,Q2 ,"34,260",0.5,1.6,,115.7,0.5,1.6,,"34,223",6.1,,,115.6,6.1,2.0,,"37,923",6.9,4.8,,106.9,0.5,2.4,,,,,,,,,,,,,,,,,,,,,,,
,Q3 ,"33,973",-0.8,1.7,,114.7,-0.8,1.7,,"34,860",1.9,,,117.7,1.9,1.8,,"38,741",2.2,3.7,,107.2,0.3,1.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Jan ,"9,429",,,,95.5,,,,"7,858",,,,79.6,,,,"7,589",,,,93.5,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb ,"9,883",4.8,,,100.1,4.8,,,"9,138",16.3,,,92.6,16.3,,,"8,810",16.1,,,93.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,"9,959",0.8,,,100.9,0.8,,,"10,849",18.7,,,109.9,18.7,,,"10,423",18.3,,,93.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,"10,132",1.7,,,102.7,1.7,,,"9,825",-9.4,,,99.6,-9.4,,,"9,414",-9.7,,,92.8,-0.3,,,,,,,,,,,,,,,,,,,,,,,,
,May,"10,364",2.3,,,105.0,2.3,,,"10,120",3.0,,,102.5,3.0,,,"9,668",2.7,,,92.5,-0.3,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,"10,458",0.9,,,106.0,0.9,,,"10,858",7.3,,,110.0,7.3,,,"10,356",7.1,,,92.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,
,Jul ,"10,383",-0.7,,,105.2,-0.7,,,"10,721",-1.3,,,108.6,-1.3,,,"10,223",-1.3,,,92.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,"10,729",3.3,,,108.7,3.3,,,"11,056",3.1,,,112.0,3.1,,,"10,545",3.2,,,92.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,"10,525",-1.9,,,106.6,-1.9,,,"10,951",-0.9,,,111.0,-0.9,,,"10,448",-0.9,,,92.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,"10,398",-1.2,,,105.4,-1.2,,,"10,948",0.0,,,110.9,0.0,,,"10,453",0.0,,,92.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,
,Nov ,"10,367",-0.3,,,105.0,-0.3,,,"10,981",0.3,,,111.3,0.3,,,"10,494",0.4,,,92.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,
,Dec ,"10,039",-3.2,,,101.7,-3.2,,,"9,362",-14.7,,,94.9,-14.7,,,"8,961",-14.6,,,92.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,
2011,Jan ,"10,371",3.3,10.0,,105.1,3.3,10.0,,"8,715",-6.9,10.9,,88.3,-6.9,10.9,,"8,360",-6.7,10.2,,92.9,0.2,-0.7,,,,,,,,,,,,,,,,,,,,,,,
,Feb ,"10,357",-0.1,4.8,,104.9,-0.1,4.8,,"9,605",10.2,5.1,,97.3,10.2,5.1,,"9,232",10.4,4.8,,93.0,0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,
,Mar ,"10,515",1.5,5.6,,106.5,1.5,5.6,,"11,468",19.4,5.7,,116.2,19.4,5.7,,"11,044",19.6,6.0,,93.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,
,Apr,"10,483",-0.3,3.5,,106.2,-0.3,3.5,,"10,047",-12.4,2.3,,101.8,-12.4,2.3,,"9,692",-12.2,3.0,,93.4,0.2,0.7,,,,,,,,,,,,,,,,,,,,,,,
,May,"10,454",-0.3,0.9,,105.9,-0.3,0.9,,"10,414",3.7,2.9,,105.5,3.7,2.9,,"10,067",3.9,4.1,,93.6,0.2,1.2,,,,,,,,,,,,,,,,,,,,,,,
,Jun,"10,593",1.3,1.3,,107.3,1.3,1.3,,"11,038",6.0,1.7,,111.8,6.0,1.7,,"10,696",6.2,3.3,,93.8,0.2,1.6,,,,,,,,,,,,,,,,,,,,,,,
,Jul,"10,582",-0.1,1.9,,107.2,-0.1,1.9,,"10,781",-2.3,0.6,,109.2,-2.3,0.6,,"10,472",-2.1,2.4,,94.0,0.2,1.9,,,,,,,,,,,,,,,,,,,,,,,
,Aug,"10,324",-2.4,-3.8,,104.6,-2.4,-3.8,,"10,842",0.6,-1.9,,109.9,0.6,-1.9,,"10,559",0.8,0.1,,94.3,0.3,2.1,,,,,,,,,,,,,,,,,,,,,,,
,Sep,"10,385",0.6,-1.3,,105.2,0.6,-1.3,,"10,832",-0.1,-1.1,,109.8,-0.1,-1.1,,"10,572",0.1,1.2,,94.5,0.2,2.3,,,,,,,,,,,,,,,,,,,,,,,
,Oct,"10,195",-1.8,-2.0,,103.3,-1.8,-2.0,,"10,762",-0.7,-1.7,,109.0,-0.7,-1.7,,"10,526",-0.4,0.7,,94.7,0.2,2.4,,,,,,,,,,,,,,,,,,,,,,,
,Nov,"10,354",1.6,-0.1,,104.9,1.6,-0.1,,"10,984",2.1,0.0,,111.3,2.1,0.0,,"10,779",2.4,2.7,,95.0,0.3,2.7,,,,,,,,,,,,,,,,,,,,,,,
,Dec,"10,751",3.8,7.1,,108.9,3.8,7.1,,"9,878",-10.1,5.5,,100.1,-10.1,5.5,,"9,737",-9.7,8.7,,95.4,0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,
2012,Jan ,"10,158",-5.5,-2.1,,102.9,-5.5,-2.1,,"8,717",-11.8,0.0,,88.3,-11.8,0.0,,"8,637",-11.3,3.3,,95.9,0.5,3.3,,,,,,,,,,,,,,,,,,,,,,,
,Feb ,"9,959",-2.0,-3.8,,100.9,-2.0,-3.8,,"9,431",8.2,-1.8,,95.6,8.2,-1.8,,"9,381",8.6,1.6,,96.3,0.4,3.5,,,,,,,,,,,,,,,,,,,,,,,
,Mar ,"10,097",1.4,-4.0,,102.3,1.4,-4.0,,"10,798",14.5,-5.8,,109.4,14.5,-5.8,,"10,761",14.7,-2.6,,96.5,0.2,3.5,,,,,,,,,,,,,,,,,,,,,,,
,Apr,"9,798",-3.0,-6.5,,99.3,-3.0,-6.5,,"9,400",-12.9,-6.4,,95.3,-12.9,-6.4,,"9,376",-12.9,-3.3,,96.6,0.1,3.4,,,,,,,,,,,,,,,,,,,,,,,
,May,"9,847",0.5,-5.8,,99.8,0.5,-5.8,,"9,952",5.9,-4.4,,100.8,5.9,-4.4,,"9,933",5.9,-1.3,,96.6,0.1,3.2,,,,,,,,,,,,,,,,,,,,,,,
,Jun,"9,426",-4.3,-11.0,,95.5,-4.3,-11.0,,"9,637",-3.2,-12.7,,97.6,-3.2,-12.7,,"9,634",-3.0,-9.9,,96.8,0.2,3.2,,,,,,,,,,,,,,,,,,,,,,,
,Jul,"9,569",1.5,-9.6,,97.0,1.5,-9.6,,"9,907",2.8,-8.1,,100.4,2.8,-8.1,,"9,922",3.0,-5.2,,97.0,0.2,3.1,,,,,,,,,,,,,,,,,,,,,,,
,Aug,"9,519",-0.5,-7.8,,96.5,-0.5,-7.8,,"9,961",0.5,-8.1,,100.9,0.5,-8.1,,"9,995",0.7,-5.3,,97.1,0.2,3.0,,,,,,,,,,,,,,,,,,,,,,,
,Sep,"9,519",0.0,-8.3,,96.5,0.0,-8.3,,"9,601",-3.6,-11.4,,97.3,-3.6,-11.4,,"9,646",-3.5,-8.8,,97.3,0.1,2.9,,,,,,,,,,,,,,,,,,,,,,,
,Oct,"9,563",0.5,-6.2,,96.9,0.5,-6.2,,"10,422",8.5,-3.2,,105.6,8.5,-3.2,,"10,485",8.7,-0.4,,97.4,0.1,2.9,,,,,,,,,,,,,,,,,,,,,,,
,Nov,"9,715",1.6,-6.2,,98.4,1.6,-6.2,,"10,271",-1.4,-6.5,,104.1,-1.4,-6.5,,"10,348",-1.3,-4.0,,97.5,0.1,2.7,,,,,,,,,,,,,,,,,,,,,,,
,Dec,"9,563",-1.6,-11.0,,96.9,-1.6,-11.0,,"8,635",-15.9,-12.6,,87.5,-15.9,-12.6,,"8,719",-15.7,-10.5,,97.7,0.2,2.4,,,,,,,,,,,,,,,,,,,,,,,
2013,Jan ,"9,423",-1.5,-7.2,,95.5,-1.5,-7.2,,"8,235",-4.6,-5.5,,83.4,-4.6,-5.5,,"8,338",-4.4,-3.5,,98.0,0.3,2.2,,,,,,,,,,,,,,,,,,,,,,,
,Feb ,"9,674",2.7,-2.9,,98.0,2.7,-2.9,,"8,996",9.2,-4.6,,91.2,9.2,-4.6,,"9,141",9.6,-2.6,,98.4,0.4,2.2,,,,,,,,,,,,,,,,,,,,,,,
,Mar ,"9,625",-0.5,-4.7,,97.5,-0.5,-4.7,,"10,040",11.6,-7.0,,101.7,11.6,-7.0,,"10,251",12.1,-4.7,,98.8,0.5,2.4,,,,,,,,,,,,,,,,,,,,,,,
,Apr,"9,642",0.2,-1.6,,97.7,0.2,-1.6,,"9,469",-5.7,0.7,,95.9,-5.7,0.7,,"9,712",-5.3,3.6,,99.3,0.5,2.8,,,,,,,,,,,,,,,,,,,,,,,
,May,"9,711",0.7,-1.4,,98.4,0.7,-1.4,,"9,771",3.2,-1.8,,99.0,3.2,-1.8,,"10,061",3.6,1.3,,99.7,0.4,3.2,,,,,,,,,,,,,,,,,,,,,,,
,Jun,"9,871",1.6,4.7,,100.0,1.6,4.7,,"9,941",1.7,3.2,,100.7,1.7,3.2,,"10,260",2.0,6.5,,99.9,0.2,3.2,,,,,,,,,,,,,,,,,,,,,,,
,Jul,"9,842",-0.3,2.9,,99.7,-0.3,2.9,,"10,332",3.9,4.3,,104.7,3.9,4.3,,"10,689",4.2,7.7,,100.2,0.2,3.3,,,,,,,,,,,,,,,,,,,,,,,
,Aug,"10,136",3.0,6.5,,102.7,3.0,6.5,,"10,416",0.8,4.6,,105.5,0.8,4.6,,"10,800",1.0,8.1,,100.4,0.2,3.3,,,,,,,,,,,,,,,,,,,,,,,
,Sep,"10,064",-0.7,5.7,,102.0,-0.7,5.7,,"10,308",-1.0,7.4,,104.5,-1.0,7.4,,"10,724",-0.7,11.2,,100.7,0.3,3.5,,,,,,,,,,,,,,,,,,,,,,,
,Oct,"10,219",1.5,6.9,,103.6,1.5,6.9,,"11,123",7.9,6.7,,112.7,7.9,6.7,,"11,618",8.3,10.8,,101.1,0.4,3.8,,,,,,,,,,,,,,,,,,,,,,,
,Nov,"10,076",-1.4,3.7,,102.1,-1.4,3.7,,"10,462",-5.9,1.9,,106.0,-5.9,1.9,,"10,976",-5.5,6.1,,101.6,0.4,4.1,,,,,,,,,,,,,,,,,,,,,,,
,Dec,"10,146",0.7,6.1,,102.8,0.7,6.1,,"9,336",-10.8,8.1,,94.6,-10.8,8.1,,"9,835",-10.4,12.8,,102.0,0.4,4.3,,,,,,,,,,,,,,,,,,,,,,,
2014,Jan ,"10,422",2.7,10.6,,105.6,2.7,10.6,,"9,136",-2.1,10.9,,92.6,-2.1,10.9,,"9,737",-1.0,16.8,,103.2,1.2,5.3,,,,,,,,,,,,,,,,,,,,,,,
,Feb ,"10,299",-1.2,6.5,,104.4,-1.2,6.5,,"9,581",4.9,6.5,,97.1,4.9,6.5,,"10,160",4.4,11.2,,102.7,-0.5,4.4,,,,,,,,,,,,,,,,,,,,,,,
,Mar ,"10,459",1.5,8.7,,106.0,1.5,8.7,,"10,893",13.7,8.5,,110.4,13.7,8.5,,"11,532",13.5,12.5,,102.5,-0.2,3.7,,,,,,,,,,,,,,,,,,,,,,,
,Apr,"10,592",1.3,9.9,,107.3,1.3,9.9,,"10,365",-4.8,9.5,,105.0,-4.8,9.5,,"10,960",-5.0,12.9,,102.4,-0.1,3.1,,,,,,,,,,,,,,,,,,,,,,,
,May,"10,560",-0.3,8.7,,107.0,-0.3,8.7,,"10,463",0.9,7.1,,106.0,0.9,7.1,,"11,059",0.9,9.9,,102.3,0.0,2.7,,,,,,,,,,,,,,,,,,,,,,,
,Jun,"10,569",0.1,7.1,,107.1,0.1,7.1,,"10,817",3.4,8.8,,109.6,3.4,8.8,,"11,496",3.9,12.0,,102.9,0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,
,Jul,"10,750",1.7,9.2,,108.9,1.7,9.2,,"11,279",4.3,9.2,,114.3,4.3,9.2,,"12,022",4.6,12.5,,103.2,0.3,3.0,,,,,,,,,,,,,,,,,,,,,,,
,Aug,"10,884",1.2,7.4,,110.3,1.2,7.4,,"10,975",-2.7,5.4,,111.2,-2.7,5.4,,"11,659",-3.0,8.0,,102.8,-0.3,2.5,,,,,,,,,,,,,,,,,,,,,,,
,Sep,"10,906",0.2,8.4,,110.5,0.2,8.4,,"11,347",3.4,10.1,,115.0,3.4,10.1,,"12,093",3.7,12.8,,103.2,0.3,2.4,,,,,,,,,,,,,,,,,,,,,,,
,Oct,"10,752",-1.4,5.2,,108.9,-1.4,5.2,,"11,664",2.8,4.9,,118.2,2.8,4.9,,"12,436",2.8,7.0,,103.2,0.0,2.1,,,,,,,,,,,,,,,,,,,,,,,
,Nov,"10,951",1.9,8.7,,111.0,1.9,8.7,,"11,177",-4.2,6.8,,113.3,-4.2,6.8,,"11,934",-4.0,8.7,,103.4,0.1,1.8,,,,,,,,,,,,,,,,,,,,,,,
,Dec,"10,929",-0.2,7.7,,110.7,-0.2,7.7,,"10,237",-8.4,9.6,,103.7,-8.4,9.6,,"10,921",-8.5,11.0,,103.3,-0.1,1.3,,,,,,,,,,,,,,,,,,,,,,,
2015,Jan ,"11,216",2.6,7.6,,113.7,2.6,7.6,,"9,608",-6.1,5.2,,97.4,-6.1,5.2,,"10,280",-5.9,5.6,,103.6,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,
,Feb ,"11,032",-1.6,7.1,,111.8,-1.6,7.1,,"10,187",6.0,6.3,,103.2,6.0,6.3,,"10,939",6.4,7.7,,104.0,0.4,1.3,,,,,,,,,,,,,,,,,,,,,,,
,Mar ,"11,263",2.1,7.7,,114.1,2.1,7.7,,"11,858",16.4,8.9,,120.2,16.4,8.9,,"12,834",17.3,11.3,,104.8,0.8,2.2,,,,,,,,,,,,,,,,,,,,,,,
,Apr,"11,270",0.1,6.4,,114.2,0.1,6.4,,"11,053",-6.8,6.6,,112.0,-6.8,6.6,,"11,905",-7.2,8.6,,104.3,-0.5,1.9,,,,,,,,,,,,,,,,,,,,,,,
,May,"11,225",-0.4,6.3,,113.7,-0.4,6.3,,"10,890",-1.5,4.1,,110.3,-1.5,4.1,,"11,744",-1.4,6.2,,104.4,0.1,2.0,,,,,,,,,,,,,,,,,,,,,,,
,Jun,"11,228",0.0,6.2,,113.8,0.0,6.2,,"11,603",6.5,7.3,,117.6,6.5,7.3,,"12,540",6.8,9.1,,104.6,0.2,1.7,,,,,,,,,,,,,,,,,,,,,,,
,Jul,"11,286",0.5,5.0,,114.4,0.5,5.0,,"11,733",1.1,4.0,,118.9,1.1,4.0,,"12,835",2.4,6.8,,105.9,1.2,2.6,,,,,,,,,,,,,,,,,,,,,,,
,Aug,"11,055",-2.0,1.6,,112.0,-2.0,1.6,,"11,033",-6.0,0.5,,111.8,-6.0,0.5,,"12,018",-6.4,3.1,,105.5,-0.4,2.5,,,,,,,,,,,,,,,,,,,,,,,
,Sep,"11,074",0.2,1.5,,112.2,0.2,1.5,,"11,489",4.1,1.3,,116.4,4.1,1.3,,"12,508",4.1,3.4,,105.4,-0.1,2.2,,,,,,,,,,,,,,,,,,,,,,,
,Oct,"11,206",1.2,4.2,,113.5,1.2,4.2,,"11,858",3.2,1.7,,120.2,3.2,1.7,,"12,956",3.6,4.2,,105.8,0.4,2.5,,,,,,,,,,,,,,,,,,,,,,,
,Nov,"11,096",-1.0,1.3,,112.4,-1.0,1.3,,"11,462",-3.3,2.5,,116.1,-3.3,2.5,,"12,548",-3.2,5.1,,106.0,0.2,2.5,,,,,,,,,,,,,,,,,,,,,,,
,Dec,"11,434",3.0,4.6,,115.9,3.0,4.6,,"10,726",-6.4,4.8,,108.7,-6.4,4.8,,"11,687",-6.9,7.0,,105.5,-0.5,2.1,,,,,,,,,,,,,,,,,,,,,,,
2016,Jan ,"11,453",0.2,2.1,,116.0,0.2,2.1,,"9,653",-10.0,0.5,,97.8,-10.0,0.5,,"10,593",-9.4,3.0,,106.2,0.7,2.6,,,,,,,,,,,,,,,,,,,,,,,
,Feb ,"11,460",0.1,3.9,,116.1,0.1,3.9,,"10,741",11.3,5.4,,108.8,11.3,5.4,,"11,802",11.4,7.9,,106.4,0.1,2.3,,,,,,,,,,,,,,,,,,,,,,,
,Mar ,"11,192",-2.3,-0.6,,113.4,-2.3,-0.6,,"11,859",10.4,0.0,,120.2,10.4,0.0,,"13,071",10.8,1.8,,106.7,0.3,1.8,,,,,,,,,,,,,,,,,,,,,,,
,Apr,"11,538",3.1,2.4,,116.9,3.1,2.4,,"11,228",-5.3,1.6,,113.8,-5.3,1.6,,"12,392",-5.2,4.1,,106.8,0.1,2.5,,,,,,,,,,,,,,,,,,,,,,,
,May,"11,403",-1.2,1.6,,115.5,-1.2,1.6,,"11,267",0.3,3.5,,114.2,0.3,3.5,,"12,439",0.4,5.9,,106.9,0.0,2.4,,,,,,,,,,,,,,,,,,,,,,,
,Jun,"11,320",-0.7,0.8,,114.7,-0.7,0.8,,"11,727",4.1,1.1,,118.8,4.1,1.1,,"12,967",4.2,3.4,,107.0,0.2,2.3,,,,,,,,,,,,,,,,,,,,,,,
,Jul,"11,370",0.4,0.7,,115.2,0.4,0.7,,"11,469",-2.2,-2.2,,116.2,-2.2,-2.2,,"12,698",-2.1,-1.1,,107.2,0.1,1.2,,,,,,,,,,,,,,,,,,,,,,,
,Aug,"11,250",-1.1,1.8,,114.0,-1.1,1.8,,"11,612",1.2,5.3,,117.7,1.2,5.3,,"12,855",1.2,7.0,,107.2,0.0,1.6,,,,,,,,,,,,,,,,,,,,,,,
,Sep,"11,352",0.9,2.5,,115.0,0.9,2.5,,"11,778",1.4,2.5,,119.3,1.4,2.5,,"13,056",1.6,4.4,,107.3,0.1,1.8,,,,,,,,,,,,,,,,,,,,,,,
,Oct,"11,284",-0.6,0.7,,114.3,-0.6,0.7,,"11,780",0.0,-0.7,,119.4,0.0,-0.7,,"13,101",0.3,1.1,,107.7,0.3,1.8,,,,,,,,,,,,,,,,,,,,,,,
,Nov,"11,260",-0.2,1.5,,114.1,-0.2,1.5,,"11,803",0.2,3.0,,119.6,0.2,3.0,,"13,158",0.4,4.9,,107.9,0.2,1.8,,,,,,,,,,,,,,,,,,,,,,,
